Student,Exam1,Exam2,Exam3,Exam4,Exam5,Exam6,Exam7,Exam8,Exam9,Exam10,Exam11,Exam12,Exam13,Exam14,Exam15,Exam16,Exam17,Exam18,Exam19,Exam20,Exam21,Exam22,Exam23,Exam24,Exam25
student260,50,79,80,51,97,85,93,62,72,50,78,76,59,93,67,100,63,61,60,81,56,95,67,97,55
student261,68,100,89,53,71,86,54,59,92,81,95,94,90,98,82,69,55,62,77,97,85,99,94,73,89
student262,72,88,81,55,91,89,71,66,76,64,99,60,59,58,86,65,95,74,99,50,53,65,68,87,73
student263,74,68,66,78,52,78,53,83,72,55,66,51,96,79,75,62,88,96,92,73,72,64,85,86,86
student264,68,63,68,84,77,88,50,58,50,100,52,64,60,66,61,93,84,70,82,70,89,86,56,82,62
student265,67,90,56,60,92,58,63,88,77,74,58,88,89,51,95,67,94,86,99,97,100,73,65,61,62
student266,99,83,80,68,87,91,68,52,82,73,63,84,96,78,86,76,75,53,80,89,63,86,96,50,72
student267,60,91,71,77,76,83,77,95,84,72,63,55,74,82,92,76,75,100,51,93,93,94,91,81,86
student268,93,77,94,61,98,94,78,88,99,83,79,60,62,77,78,67,55,70,52,73,93,92,75,64,88
student269,78,55,52,60,50,90,89,80,74,54,52,74,54,88,74,62,72,98,98,59,50,91,53,67,79
student270,66,68,89,84,78,73,56,75,75,85,92,88,67,94,58,80,84,91,51,80,76,84,56,98,64
student271,66,84,58,86,73,94,83,88,61,100,58,98,60,62,61,96,89,99,57,72,67,69,99,87,94
student272,86,99,81,78,54,91,54,82,50,50,56,85,52,69,55,62,62,89,100,96,94,80,56,89,62
student273,51,77,75,71,93,59,60,54,90,80,59,52,77,72,64,76,100,52,90,56,83,53,56,94,72
student274,62,61,77,66,91,73,54,77,74,80,89,62,88,54,81,94,87,78,94,70,53,91,79,88,69
student275,61,55,99,61,90,69,68,51,83,62,59,84,67,73,86,94,95,70,81,91,86,88,62,58,68
student276,97,63,97,74,70,57,72,60,77,60,99,57,74,70,87,64,83,55,80,95,55,77,51,96,52
student277,60,55,71,77,60,79,66,63,61,62,76,100,66,53,90,62,88,96,74,80,77,54,50,96,63
student278,60,82,69,99,98,56,76,98,77,83,55,54,82,84,54,66,63,57,69,100,82,84,53,93,93
student279,61,87,71,88,62,94,81,67,87,100,92,84,57,52,76,95,59,89,52,58,64,52,82,88,83
student280,67,97,96,86,88,60,90,75,89,94,83,56,62,63,88,59,65,71,68,57,84,74,81,63,71
student281,88,58,55,89,65,71,57,98,62,56,54,73,75,63,97,91,63,94,68,80,96,55,70,72,62
student282,71,92,82,54,68,77,62,62,63,76,90,86,84,78,95,52,78,87,79,83,79,58,54,92,77
student283,52,57,70,83,92,79,97,65,84,77,85,54,82,82,94,77,55,84,50,58,89,68,86,70,74
student284,94,59,61,66,65,56,60,97,91,63,59,55,71,80,52,67,79,70,53,69,64,56,81,64,94
student285,58,79,56,61,87,60,71,97,87,100,61,84,86,56,59,74,80,70,73,54,71,68,52,60,85
student286,99,65,51,57,99,67,75,61,92,73,53,99,51,81,51,53,93,91,86,56,79,64,50,95,53
student287,73,97,54,88,72,100,78,53,56,58,98,62,71,89,72,65,65,94,80,54,89,50,64,65,98
student288,52,84,79,53,72,99,78,84,66,63,53,85,78,86,95,79,62,90,68,64,66,95,85,83,81
student289,78,65,98,51,54,100,89,98,66,70,52,68,51,92,58,94,75,61,50,63,93,96,73,100,63
student290,73,80,67,89,92,70,55,62,95,56,73,99,52,97,94,78,76,87,76,86,94,94,80,78,97
student291,90,93,90,61,96,65,83,71,96,50,96,68,77,86,71,71,62,87,93,51,53,94,57,81,53
student292,72,98,69,85,95,95,67,90,59,68,59,58,73,85,65,50,72,67,69,56,77,91,96,92,99
student293,64,73,76,68,83,62,93,60,70,75,65,60,94,76,94,63,59,100,99,64,50,66,84,84,82
student294,76,88,99,88,54,84,93,92,82,96,81,90,75,79,74,95,76,63,52,67,50,62,50,90,66
student295,61,79,85,66,91,51,74,72,55,82,63,61,84,55,68,68,59,94,59,61,53,76,86,100,81
student296,71,76,78,87,81,91,88,61,53,79,60,86,71,79,70,56,58,81,61,60,63,75,78,91,97
student297,75,89,60,73,73,78,55,74,64,63,62,83,75,93,63,75,57,96,86,88,53,50,57,68,84
student298,98,87,60,64,94,61,51,76,58,61,80,85,70,65,98,53,60,86,79,78,80,81,99,54,98
student299,85,57,93,88,88,58,60,55,70,82,78,63,91,100,90,93,63,83,57,87,64,59,71,66,65
student300,71,79,61,68,80,51,59,63,79,71,68,52,89,85,55,85,78,74,68,54,68,90,50,84,62
student301,60,51,77,87,96,93,88,80,52,50,74,73,99,89,96,50,92,73,93,83,67,92,56,88,76
student302,57,91,83,63,90,97,51,58,52,100,79,63,50,56,58,59,86,56,79,97,68,68,90,88,68
student303,77,55,55,77,80,77,55,82,51,99,91,98,57,95,99,75,75,59,83,62,61,90,80,64,95
student304,90,60,78,96,100,60,96,82,52,78,94,75,68,94,93,77,57,71,95,69,56,54,96,63,53
student305,93,89,59,86,54,65,81,63,53,89,57,74,63,85,70,75,53,52,78,63,54,60,52,73,98
student306,67,60,65,74,83,62,64,58,94,95,56,59,52,85,64,84,99,91,58,76,60,65,100,90,59
student307,54,59,52,58,55,79,84,55,94,76,89,85,70,70,83,54,68,94,52,67,98,73,96,68,89
student308,91,71,75,72,55,90,80,95,89,76,64,100,68,67,57,76,72,77,88,80,91,80,78,51,72
student309,61,67,78,95,56,69,84,95,68,57,95,71,55,99,80,62,85,98,68,84,82,92,84,74,99
student310,75,96,84,63,52,56,91,71,89,90,79,71,52,75,86,99,81,80,77,99,93,91,59,91,68
student311,94,64,51,50,75,52,55,90,63,52,68,58,65,81,98,70,59,75,99,93,74,64,70,71,98
student312,90,75,64,88,61,69,69,77,58,100,81,52,67,70,99,89,70,95,95,99,52,54,77,68,78
student313,61,80,100,98,94,59,94,76,86,85,55,70,77,68,61,69,91,67,89,95,73,95,80,58,51
student314,98,89,83,56,60,67,75,78,60,61,76,60,57,77,90,57,54,53,89,93,72,100,53,63,81
student315,97,76,96,58,82,73,87,50,67,51,88,66,93,55,51,94,60,85,60,99,92,100,80,56,84
student316,76,67,58,86,73,95,61,54,52,88,52,84,79,54,74,65,90,85,86,57,62,79,88,60,75
student317,56,53,61,81,58,75,73,85,73,88,56,69,78,91,65,91,77,62,93,83,95,76,99,87,50
student318,88,89,50,53,90,62,83,66,73,86,71,55,85,69,88,68,52,58,51,100,53,95,83,98,85
student319,61,81,77,53,60,95,86,61,98,86,52,56,60,73,63,51,67,67,70,56,70,77,51,75,75
student320,84,100,72,69,78,77,52,54,73,73,63,65,79,84,100,94,97,88,51,70,58,90,66,68,78
student321,53,83,79,83,85,91,50,61,99,70,67,94,82,56,81,56,65,96,58,94,68,76,77,64,79
student322,79,84,87,84,77,79,58,74,65,66,67,56,88,61,87,67,88,75,63,67,66,71,73,94,93
student323,67,58,93,72,95,87,74,90,95,91,58,70,74,78,67,51,69,98,71,58,99,59,88,72,70
student324,61,60,61,87,95,63,54,63,91,74,69,81,90,73,61,100,57,58,90,86,67,93,87,91,96
student325,50,56,86,95,60,71,61,62,69,65,82,95,68,67,64,76,52,76,52,56,57,81,83,60,99
student326,100,52,58,85,59,93,86,89,81,98,62,51,60,97,62,89,86,60,68,56,77,76,60,89,75
student327,81,50,61,68,92,65,95,78,88,78,83,72,90,57,81,93,77,63,68,66,57,90,95,66,71
student328,51,66,59,97,62,66,99,75,98,83,87,60,66,89,65,89,72,99,63,76,75,61,58,65,86
student329,69,68,81,62,83,81,84,80,72,62,98,54,83,97,85,91,79,95,71,79,52,100,84,94,81
student330,77,63,86,81,81,89,71,75,51,60,82,53,82,82,77,95,60,77,60,70,90,78,68,90,69
student331,78,94,57,51,90,53,93,77,61,91,96,79,90,61,70,74,64,76,64,51,75,84,50,86,79
student332,52,86,84,80,76,95,58,75,64,68,70,72,78,89,83,51,80,62,61,54,89,64,52,87,73
student333,99,82,80,86,83,70,65,59,63,73,83,69,51,72,52,53,64,74,58,68,92,81,95,56,72
student334,54,82,77,52,91,93,80,89,75,70,87,86,55,73,64,77,77,57,61,89,50,92,84,53,100
student335,80,86,69,83,53,63,93,68,70,86,81,60,75,81,62,50,94,61,84,59,54,51,58,85,90
student336,68,69,86,91,84,66,86,91,97,58,78,53,70,71,51,71,57,69,91,93,60,100,60,61,53
student337,61,77,61,61,85,84,56,75,74,67,95,82,80,84,89,100,81,77,58,90,63,99,95,95,77
student338,69,99,81,95,71,94,59,93,85,88,93,70,80,93,77,58,72,79,76,98,93,96,89,97,86
student339,55,85,60,72,71,76,76,94,80,81,63,70,91,56,75,74,88,94,77,51,61,56,61,82,68
student340,53,76,77,53,53,52,100,57,56,63,64,69,76,58,87,67,100,71,83,96,89,62,81,69,90
student341,80,94,91,88,68,81,98,54,73,68,51,65,95,62,73,84,98,90,98,65,53,69,93,51,57
student342,89,71,100,86,92,70,61,52,59,52,92,75,63,52,64,94,92,92,94,93,80,77,98,97,67
student343,72,75,69,69,74,96,57,69,87,94,62,75,94,98,72,52,62,70,55,75,68,89,85,82,74
student344,73,98,53,61,50,66,74,95,84,92,72,81,92,88,52,77,96,89,86,85,63,50,65,87,60
student345,61,66,51,99,52,87,69,100,59,87,82,88,93,96,53,52,75,74,94,98,96,76,99,78,91
student346,90,66,69,94,82,79,53,76,87,69,60,76,61,92,53,55,52,57,65,73,68,64,77,77,82
student347,56,65,53,79,83,91,77,65,96,62,75,73,94,51,65,95,83,69,64,53,53,84,65,68,54
student348,59,86,92,92,76,64,50,67,78,70,100,51,83,93,80,69,59,75,68,81,73,100,90,88,76
student349,99,78,67,82,76,71,88,89,51,87,82,73,84,68,64,62,90,84,53,89,96,69,86,84,71
student350,74,58,84,50,79,64,90,100,99,90,86,71,63,79,88,85,56,65,98,94,100,73,93,69,52
student351,75,77,74,67,60,76,85,62,66,73,67,68,89,91,59,61,99,67,55,88,83,93,72,52,86
student352,75,89,51,78,58,55,96,88,73,78,50,75,82,50,81,71,69,68,100,71,63,83,90,61,78
student353,58,57,66,55,67,54,75,72,98,93,52,70,54,55,84,61,51,84,68,70,62,82,81,59,76
student354,75,70,85,50,73,98,83,74,72,73,96,56,67,86,53,67,64,55,66,69,59,82,79,58,67
student355,69,88,100,52,86,95,80,85,77,60,65,78,68,67,97,94,63,61,88,61,96,71,51,99,79
student356,54,52,89,65,84,89,84,51,97,65,61,90,58,68,76,69,53,92,53,58,99,50,79,95,53
student357,50,97,84,62,90,64,72,65,52,55,69,78,63,66,52,82,84,97,83,100,53,95,51,71,57
student358,79,87,87,53,86,56,91,98,79,98,68,93,82,66,68,71,64,66,67,93,85,97,53,52,87
student359,66,55,53,58,76,56,99,87,97,71,86,54,73,56,98,98,55,97,74,73,69,74,84,54,98
student360,73,71,85,51,80,98,80,57,64,84,64,90,54,98,71,87,74,90,50,71,82,84,67,100,76
student361,65,73,72,72,100,67,76,71,75,66,86,77,57,86,78,53,60,60,69,52,85,57,83,88,97
student362,53,98,97,63,52,63,67,94,77,54,61,82,95,60,57,58,64,97,57,78,74,79,59,99,67
student363,55,71,57,58,84,61,97,50,57,91,84,82,52,69,91,71,54,96,83,77,90,100,72,99,56
student364,80,78,81,77,59,58,72,52,95,91,100,65,59,51,54,64,51,56,93,89,92,69,75,85,72
student365,79,82,57,58,61,96,58,98,61,71,87,100,92,73,85,96,77,99,88,54,57,68,75,100,81
student366,85,70,56,80,70,59,59,56,96,50,72,82,92,87,95,81,60,68,68,81,84,74,82,98,69
student367,84,71,63,62,98,57,93,67,61,84,72,54,78,86,57,91,79,50,50,68,63,52,62,52,55
student368,84,84,92,66,62,97,72,60,52,59,59,53,99,90,94,63,100,74,56,54,80,77,67,61,80
student369,67,58,61,72,81,99,72,98,57,69,78,69,57,53,74,100,85,85,94,86,76,91,95,68,76
student370,89,83,58,70,55,91,87,58,77,83,98,66,71,70,64,87,81,52,87,66,65,90,100,84,85
student371,71,51,78,90,73,69,89,69,70,88,62,66,85,56,85,56,100,65,62,97,98,97,54,96,62
student372,61,66,52,83,98,84,95,79,90,62,88,58,92,60,92,93,72,95,64,52,89,64,73,94,77
student373,64,51,61,56,53,63,53,68,92,100,95,54,62,88,98,57,65,50,89,96,95,69,84,62,72
student374,85,91,53,99,80,74,62,63,79,88,99,58,98,78,94,68,55,54,70,68,77,62,69,75,80
student375,99,93,59,93,69,79,75,78,85,53,91,94,57,51,79,50,87,91,56,78,55,58,80,59,61
student376,81,86,61,95,91,92,68,78,91,64,59,55,83,82,82,65,71,89,85,64,98,55,81,90,99
student377,82,91,84,78,55,53,58,79,65,95,69,95,89,51,98,74,89,63,56,56,64,58,92,84,58
student378,75,94,75,77,62,72,56,92,55,80,57,56,83,91,92,73,96,78,62,63,61,64,90,83,90
student379,87,60,94,88,51,60,52,53,55,79,73,77,53,73,92,79,53,96,70,100,57,97,50,51,65
student380,58,84,95,78,64,70,90,66,94,71,93,76,79,98,71,89,69,94,85,87,95,91,87,83,74
student381,95,92,54,82,96,60,50,52,86,90,80,94,80,52,58,88,71,50,54,76,95,71,92,71,64
student382,91,86,96,53,51,52,79,100,85,89,67,59,75,93,95,50,90,72,91,60,55,71,66,90,97
student383,70,98,99,86,85,80,63,87,82,88,93,64,83,54,72,59,56,88,86,78,56,100,53,94,88
student384,83,51,51,52,64,100,89,89,92,68,59,94,50,57,92,100,78,54,78,93,66,54,69,82,71
student385,58,55,85,81,73,94,84,50,83,67,94,97,86,76,80,70,85,88,52,69,50,100,99,72,70
student386,70,82,64,60,72,71,95,71,64,50,83,57,59,84,69,55,62,80,62,72,71,82,58,73,97
student387,62,71,72,91,81,51,76,90,72,97,75,55,72,78,67,79,83,99,50,79,74,81,71,95,84
student388,59,91,69,67,84,83,93,81,68,70,54,55,65,100,57,94,62,79,55,79,77,55,55,79,68
student389,79,85,61,97,83,68,96,66,78,71,87,98,92,55,60,64,74,58,96,98,89,75,50,50,69
student390,87,93,62,50,73,94,63,70,92,62,68,55,52,60,94,75,72,63,56,67,92,98,50,63,53
student391,69,72,99,70,53,94,53,72,71,64,97,64,62,60,98,82,99,66,75,72,98,95,92,73,88
student392,69,70,89,80,61,80,77,62,89,97,83,75,90,72,61,83,76,75,71,99,92,94,53,67,90
student393,53,73,59,76,86,100,58,89,68,84,61,77,71,56,75,100,96,63,66,84,82,77,92,97,97
student394,84,80,73,84,83,50,63,84,92,95,97,56,94,89,97,77,57,71,91,89,79,51,86,92,79
student395,61,55,65,52,64,77,65,82,66,92,70,65,98,73,77,93,83,59,77,84,57,68,80,82,75
student396,87,59,71,97,81,59,85,75,59,52,68,98,85,58,96,88,79,65,88,85,65,78,68,99,84
student397,52,70,83,87,78,85,65,78,98,53,57,68,84,93,71,79,60,54,73,87,70,91,88,51,67
student398,71,98,54,79,50,93,66,83,89,89,76,73,81,50,86,71,56,82,76,82,83,84,97,51,98
student399,71,90,56,89,50,65,75,82,52,99,97,74,64,77,54,70,69,96,96,73,73,78,61,65,55
student400,85,79,73,72,89,89,79,57,79,88,98,90,53,90,93,90,100,84,68,80,60,75,98,67,61
student401,73,56,74,83,68,81,61,72,60,73,82,54,75,54,56,52,86,65,87,68,94,59,50,71,86
student402,91,80,92,57,76,87,100,81,89,93,72,93,86,74,86,81,57,57,71,52,76,69,98,90,89
student403,55,93,74,51,65,68,80,53,70,83,68,81,59,80,81,57,81,51,73,57,64,85,85,96,72
student404,79,77,85,91,84,72,63,100,58,75,69,95,63,83,98,100,54,50,59,97,80,65,97,73,78
student405,74,100,71,74,75,50,58,93,79,69,99,51,66,51,68,71,80,100,55,95,50,72,72,56,65
student406,58,76,80,61,66,78,91,100,73,83,83,80,78,76,98,94,64,75,56,51,96,93,74,67,80
student407,56,86,70,83,90,77,99,80,67,60,98,67,71,82,72,57,55,76,96,81,90,99,78,72,59
student408,95,64,64,59,93,63,67,96,89,84,65,55,96,97,74,79,66,62,70,56,76,96,67,72,83
student409,59,99,100,84,65,56,96,57,73,65,88,95,76,56,56,91,63,96,53,75,57,52,87,78,59
student410,89,64,93,85,96,79,68,85,74,92,61,69,52,74,73,51,99,56,99,99,90,99,93,61,77
student411,85,57,80,69,60,54,66,56,88,84,91,72,79,62,97,83,88,84,84,59,72,65,99,98,76
student412,84,95,57,64,78,84,90,81,55,59,73,67,76,86,90,84,91,98,53,88,71,75,65,57,60
student413,91,60,60,65,51,68,67,66,72,58,82,75,80,91,71,99,54,64,74,84,75,93,64,82,92
student414,68,83,72,99,66,76,63,58,93,86,84,87,83,81,96,74,83,66,51,82,60,100,77,68,91
student415,57,99,73,77,95,78,54,99,92,70,92,51,89,79,79,96,91,89,78,92,97,53,100,54,82
student416,76,65,93,61,84,50,61,52,55,98,66,61,90,99,99,96,82,91,53,79,58,64,78,80,93
student417,96,69,59,63,75,91,66,85,63,80,92,89,83,59,97,50,50,80,80,94,82,75,53,67,74
student418,91,80,53,57,100,56,54,82,84,96,52,83,86,80,67,75,54,71,58,55,52,58,56,93,92
student419,79,60,65,52,100,99,98,76,50,89,87,74,56,81,62,75,92,84,67,71,83,51,62,59,86
student420,69,98,100,91,79,63,91,92,50,54,82,67,79,100,100,70,89,91,82,93,94,66,99,80,99
student421,97,68,88,74,72,77,59,91,92,68,98,92,81,58,64,54,82,60,89,60,87,83,91,71,62
student422,98,60,82,65,67,69,76,51,51,66,88,64,80,88,64,79,89,72,81,97,90,66,87,50,87
student423,62,84,55,64,94,80,92,56,78,87,83,81,100,55,50,65,72,66,90,58,98,90,88,55,85
student424,77,71,100,69,52,97,55,77,78,96,55,84,66,74,55,56,56,68,56,54,83,53,98,61,67
student425,93,93,81,89,73,97,94,83,62,91,99,76,62,96,83,61,60,88,100,80,73,90,67,83,71
student426,91,66,61,57,95,88,65,84,68,56,95,75,88,72,72,52,50,58,91,71,85,97,84,53,85
student427,99,52,85,76,51,71,59,57,84,88,88,60,86,51,67,85,96,93,62,74,62,75,80,65,82
student428,64,58,94,62,97,56,97,96,95,96,69,92,93,89,50,79,94,58,89,95,52,50,63,51,80
student429,95,93,80,99,67,88,65,68,50,93,64,91,59,79,92,95,63,69,51,73,78,51,55,75,58
student430,81,64,71,56,63,64,71,100,98,74,87,52,76,93,73,77,95,59,94,66,97,64,84,79,99
student431,77,68,75,50,77,93,50,97,68,92,82,61,95,50,52,92,71,81,64,53,50,97,70,67,72
student432,67,79,77,59,58,84,59,61,68,92,95,73,61,66,59,81,69,57,86,71,87,52,84,79,76
student433,69,98,59,99,63,67,88,67,80,82,56,80,83,97,75,74,51,70,85,61,76,71,88,87,60
student434,51,54,62,78,75,89,90,94,92,57,93,92,92,87,68,89,92,88,56,65,96,78,73,97,91
student435,99,93,89,56,81,61,96,74,71,92,85,79,98,67,53,68,68,58,83,70,50,65,50,64,99
student436,63,72,96,81,68,74,71,78,81,61,82,70,84,58,88,86,65,81,84,51,63,86,63,92,89
student437,92,76,81,60,52,52,83,82,53,55,68,54,72,67,53,50,91,62,91,75,62,82,54,76,84
student438,65,81,52,93,82,63,88,79,64,92,50,83,85,61,67,95,70,92,70,100,85,50,94,69,87
student439,72,82,53,84,79,53,53,56,76,58,63,58,70,98,72,67,73,50,97,84,52,62,64,74,67
student440,51,90,61,63,94,89,73,71,64,87,74,80,72,50,88,80,56,79,98,75,92,93,85,77,72
student441,51,58,97,59,68,87,56,79,89,100,52,83,99,66,64,59,56,76,51,85,88,61,54,80,98
student442,70,98,96,85,93,74,55,75,76,76,83,70,54,95,98,54,95,67,85,51,55,84,76,77,79
student443,77,80,69,54,57,50,77,95,91,84,75,60,51,99,62,73,55,82,55,58,76,66,58,87,96
student444,53,95,96,70,72,83,92,58,89,53,56,92,57,77,85,99,92,81,87,78,92,83,76,87,66
student445,91,56,62,51,74,79,88,76,81,62,98,62,60,84,50,79,93,57,82,87,98,96,88,84,91
student446,92,94,54,75,84,57,58,98,55,92,57,66,60,89,51,100,97,64,50,66,96,73,55,50,92
student447,83,77,57,97,64,72,80,71,56,86,94,92,62,76,74,61,82,64,97,65,100,54,62,77,75
student448,97,75,59,53,55,68,68,87,84,88,63,100,99,71,56,97,93,91,88,87,74,98,86,86,99
student449,67,85,54,58,61,77,81,56,78,70,94,68,85,97,66,71,90,87,96,58,76,91,51,81,59
student450,99,74,84,93,93,97,59,99,88,76,100,87,89,51,85,83,91,68,90,57,58,69,65,92,61
student451,61,83,66,92,92,98,65,54,93,100,64,97,98,55,71,77,53,96,61,64,88,56,97,90,98
student452,76,80,64,98,82,70,65,63,59,88,100,59,79,93,76,51,66,98,95,98,52,82,60,87,82
student453,77,95,50,99,95,64,86,98,70,77,81,81,56,89,85,53,67,52,55,86,65,92,69,92,58
student454,53,57,87,83,82,95,73,76,69,67,100,79,100,92,73,81,81,70,74,61,89,53,55,97,67
student455,75,54,84,82,87,70,93,81,58,57,51,82,92,100,69,55,66,100,70,81,57,63,84,64,78
student456,50,57,86,51,91,85,98,86,94,98,90,54,94,68,98,76,92,89,83,99,99,66,99,62,93
student457,60,51,64,76,86,64,57,63,88,74,74,95,55,97,97,70,93,96,63,56,67,93,75,72,66
student458,94,66,85,92,68,60,92,72,50,58,91,53,85,73,75,57,60,72,63,70,89,94,69,82,76
student459,74,79,64,88,94,62,82,74,79,84,64,54,67,61,78,73,93,72,82,75,75,94,63,50,66
student460,61,65,87,98,60,98,63,68,79,99,100,89,95,92,96,63,64,66,92,95,85,100,56,52,81
student461,66,52,74,65,76,97,89,86,51,96,70,91,86,73,71,79,59,57,53,88,63,56,67,97,87
student462,72,68,57,90,93,95,67,82,60,68,85,50,91,57,78,65,75,87,77,99,52,92,98,58,74
student463,88,100,94,79,80,92,74,98,73,78,77,92,64,95,84,84,62,90,87,57,91,52,55,74,68
student464,60,50,59,74,98,89,68,64,77,65,88,57,64,66,93,91,98,65,64,62,69,96,86,55,91
student465,65,53,69,89,93,78,78,75,84,67,59,96,51,51,85,82,54,75,95,94,61,55,100,65,66
student466,75,65,50,62,74,64,68,62,99,76,55,54,72,57,57,51,80,53,82,76,75,90,62,62,87
student467,52,78,67,78,92,98,57,69,57,65,66,71,78,92,78,70,53,70,81,51,86,100,78,52,55
student468,79,94,91,85,77,71,93,56,93,53,63,91,55,74,91,51,65,76,90,80,96,91,88,66,99
student469,93,67,87,79,62,59,70,83,66,76,96,83,98,50,67,83,83,73,59,92,70,65,52,80,73
student470,74,79,90,54,79,71,99,62,57,64,86,82,57,95,88,75,52,86,72,54,86,62,75,82,68
student471,65,76,58,87,96,73,86,86,71,86,72,90,56,85,59,97,83,87,72,52,50,86,77,77,72
student472,95,70,73,61,78,76,51,92,83,96,96,100,50,72,67,77,57,95,84,81,77,90,90,100,69
student473,65,92,71,72,76,64,53,86,74,99,60,100,82,66,72,60,95,61,68,87,51,80,93,52,74
student474,76,99,98,78,66,75,54,81,67,100,64,75,53,65,75,71,74,100,85,53,78,77,52,63,83
student475,99,61,77,55,97,98,52,52,70,66,62,57,89,90,69,94,60,74,100,55,55,94,83,79,89
student476,80,69,58,82,97,86,83,67,84,89,83,93,65,71,71,55,66,52,52,86,97,79,98,66,61
student477,61,81,75,82,92,97,99,67,87,81,68,76,84,82,83,74,70,69,95,64,75,70,75,57,75
student478,75,74,58,56,58,94,86,84,86,86,59,97,79,62,65,100,69,92,61,72,62,62,53,99,71
student479,81,86,56,73,94,56,76,97,52,67,88,73,81,96,79,91,84,75,94,58,81,79,71,71,52
student480,85,67,77,77,93,68,62,79,97,77,91,87,53,83,86,91,86,99,83,55,82,81,86,91,92
student481,70,82,51,51,63,72,80,56,78,67,92,93,63,52,78,73,61,52,57,58,62,81,75,51,91
student482,68,99,55,90,91,74,80,72,68,63,95,84,69,82,64,77,77,71,74,52,95,66,69,58,90
student483,93,56,55,57,84,70,100,56,93,60,83,98,93,61,99,52,69,98,76,51,64,61,67,91,86
student484,65,74,85,92,100,59,74,70,84,59,70,94,50,77,99,80,69,74,94,62,94,77,83,51,67
student485,92,85,98,54,53,85,75,65,68,96,89,57,75,95,90,95,92,64,56,92,64,68,73,54,97
student486,74,81,53,90,96,56,66,96,84,97,97,62,83,59,98,58,58,96,77,76,66,98,57,94,100
student487,93,54,91,88,97,100,92,95,87,73,55,71,60,56,69,80,60,86,80,86,60,86,69,72,55
student488,66,87,98,60,85,54,53,71,80,98,71,69,69,82,86,71,57,56,80,93,89,96,70,80,59
student489,58,77,81,74,84,63,55,51,66,80,86,71,83,100,58,66,63,97,88,100,72,67,76,51,95
student490,72,74,76,89,61,65,100,51,53,52,81,58,51,64,100,96,78,74,93,86,74,81,55,92,57
student491,61,80,59,84,93,64,87,76,56,71,70,96,87,72,84,50,73,54,65,63,62,84,67,82,50
student492,52,93,54,79,88,100,59,86,79,82,78,75,73,54,62,94,71,81,75,90,64,55,77,70,75
student493,88,74,70,67,100,52,56,59,75,86,77,82,96,68,72,71,87,87,94,51,66,61,85,85,82
student494,91,60,53,90,69,80,62,72,88,93,91,81,56,97,64,53,61,83,54,75,82,97,96,53,98
student495,79,98,59,57,65,64,78,88,76,61,61,87,62,99,70,92,98,71,97,56,66,67,74,61,72
student496,68,70,76,66,69,53,50,84,66,68,65,100,75,58,91,80,99,77,91,81,80,76,97,85,67
student497,94,84,94,68,83,99,76,97,96,77,85,55,51,62,53,50,82,75,58,69,91,57,84,92,72
student498,67,84,93,56,75,98,91,98,65,81,80,90,65,96,85,80,83,67,60,96,81,62,79,59,95
student499,74,93,80,77,50,50,99,97,51,63,64,95,68,50,93,54,84,77,56,87,93,87,54,89,95
student500,92,68,61,58,57,63,93,54,67,87,91,98,89,99,91,83,88,52,66,89,53,93,95,62,62
student501,62,89,77,76,65,76,58,89,68,74,55,70,55,73,56,61,77,55,96,86,98,75,77,70,85
student502,78,64,82,95,99,86,64,55,83,58,59,85,61,87,98,84,57,86,83,73,93,56,80,100,52
student503,51,91,76,77,100,60,80,95,73,65,94,51,54,82,88,72,85,83,64,76,60,81,77,78,66
student504,91,61,94,84,64,79,85,50,87,88,89,51,71,58,80,97,65,78,86,93,96,72,93,62,85
student505,63,65,92,73,74,71,52,83,73,82,57,86,53,50,78,89,64,50,82,74,71,96,82,59,62
student506,68,87,72,55,57,88,64,52,87,90,69,79,65,68,54,87,87,55,62,72,65,66,53,72,59
student507,97,92,90,96,94,87,68,57,92,75,83,53,72,51,76,70,56,67,62,77,50,94,84,54,73
student508,91,58,75,68,59,75,81,93,97,61,51,54,77,75,91,90,75,65,56,83,84,76,79,87,60
student509,88,93,70,77,56,72,89,75,89,91,91,61,50,79,73,72,71,98,63,99,98,87,85,51,68
student510,97,92,66,76,79,68,83,65,79,55,57,95,64,50,55,83,91,57,100,95,52,61,55,84,64
student511,57,95,67,89,88,91,69,96,84,69,59,91,77,55,94,57,91,64,74,62,68,72,73,100,57
student512,59,60,89,98,83,57,92,84,50,87,95,59,63,70,96,90,76,72,97,52,50,71,83,69,68
student513,77,72,84,90,68,61,63,54,85,60,64,93,60,74,77,75,70,53,78,70,93,67,94,66,82
student514,59,71,64,79,54,87,69,82,57,90,90,65,81,58,71,78,79,80,53,76,69,84,62,72,90
student515,81,71,61,95,72,66,76,67,93,68,53,66,98,94,64,93,95,92,99,57,66,90,55,91,93
student516,75,86,57,54,68,89,97,61,95,51,64,76,96,67,81,55,96,95,63,58,63,85,93,95,54
student517,61,56,71,71,61,95,59,64,88,97,77,99,65,91,82,98,78,53,86,50,61,71,67,66,61
student518,53,50,71,67,50,78,50,72,74,52,77,94,69,81,93,95,63,60,99,59,58,67,76,52,61
student519,75,50,96,66,98,59,76,98,66,82,59,80,53,100,70,66,97,92,54,75,85,52,53,63,73
student520,73,88,66,59,61,65,89,71,94,91,94,77,89,90,95,72,91,77,71,69,87,84,98,74,99
